"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2230","User login with wrong email or password","LMS system","Thu Mar 12 14:57:48 UTC 2026","passed","Thu Mar 12 14:57:50 UTC 2026","Authorization","Authentication","",""
"","2222","User login with wrong email or password","LMS system","Thu Mar 12 14:57:47 UTC 2026","passed","Thu Mar 12 14:57:50 UTC 2026","Authorization","Authentication","",""
"","3334","Edit course","LMS system","Thu Mar 12 14:57:58 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","Courses","Courses","",""
"","1757","Navigation from login page to registration page","LMS system","Thu Mar 12 14:57:52 UTC 2026","passed","Thu Mar 12 14:57:54 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","TestUserInterface","test_markers","",""
"","1590","Check displaying of dashboard page","LMS system","Thu Mar 12 14:58:02 UTC 2026","passed","Thu Mar 12 14:58:03 UTC 2026","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","TestUserAuthorization","test_markers","",""
"","1678","Check displaying of empty courses list","LMS system","Thu Mar 12 14:57:56 UTC 2026","passed","Thu Mar 12 14:57:58 UTC 2026","Courses","Courses","",""
"","1","test_login","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","TestUserAuthorization","test_markers","",""
"","0","test_regression_test","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","","test_markers","",""
"","3050","Create course","LMS system","Thu Mar 12 14:57:58 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","","test_markers","",""
"","1602","User login with wrong email or password","LMS system","Thu Mar 12 14:57:50 UTC 2026","passed","Thu Mar 12 14:57:52 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Mar 12 14:58:01 UTC 2026","passed","Thu Mar 12 14:58:01 UTC 2026","TestUserAuthorization","test_markers","",""
"","3468","User login with correct email and password","LMS system","Thu Mar 12 14:57:50 UTC 2026","passed","Thu Mar 12 14:57:54 UTC 2026","Authorization","Authentication","",""
"","1849","Registration with correct email, username and password","LMS system","Thu Mar 12 14:57:54 UTC 2026","passed","Thu Mar 12 14:57:56 UTC 2026","Registration","Authentication","",""
